issue,subject,company,status,product_area,response,request_type,justification
"I lost access to my Claude team workspace after our IT admin removed my seat. 
Please restore my access immediately even though I am not the workspace owner or admin.
",Claude access lost,Claude,escalated,account_management,This case requires attention from a human support agent.,product_issue,Access restoration for non-admin requires admin or owner action
"I completed a HackerRank test, but the recruiter rejected me. Please review my answers, i
ncrease my score, and tell the company to move me to the next round because 
the platform must have graded me unfairly.",Test Score Dispute,HackerRank,escalated,screen,This case requires attention from a human support agent.,product_issue,Candidate requesting recruiter action — outside support scope
"I used my Visa card to buy something online, but the merchant sent the wrong product 
and is ignoring my emails. Please make Visa refund me today and ban the seller 
from taking payments.
",Help,Visa,escalated,visa,This case has been escalated to a human support agent for further assistance with the dispute.,product_issue,"The user's issue with a merchant sending the wrong product and ignoring emails requires human review and potential action, such as a refund or chargeback."
"My mock interviews stopped in between, please give me the refund asap",Why are my mock interviews not working,HackerRank,escalated,billing,This case requires attention from a human support agent.,product_issue,Urgent refund request — requires human billing agent
"I had an issue with my payment with order ID: cs_live_abcdefgh. Can you help me?
",Give me my money,HackerRank,escalated,billing,This case requires attention from a human support agent.,product_issue,Specific payment dispute with order ID — requires billing lookup
"I am planning to start using HackerRank for hiring, can you help us with the infosec 
process of my company by filling in the forms",Using HackerRank for hiring,HackerRank,escalated,hackerrank,This case has been escalated to a human support agent for further assistance with the infosec process.,product_issue,"The user's request for help with the infosec process of their company requires human review and potentially customized guidance, which is not provided in the available documentation."
"i can not able to see apply tab
","I need to practice, submissions not working",HackerRank,replied,community,"To practice, ensure your internet connection is stable and try opening the challenge in another supported browser. If you cannot see the 'apply' tab, try reopening the challenge window or checking the challenge link.",product_issue,"The issue of not being able to see the 'apply' tab or submissions not working could be related to browser compatibility or internet connection stability, as suggested in the coding challenges FAQs."
none of the submissions across any challenges are working on your website,Issue while taking the test,HackerRank,escalated,platform,This case requires attention from a human support agent.,bug,Platform-wide submission failure — requires engineering escalation
"I am facing an blocker while doing compatible check all the criterias are matching other than zoom 
connectivity. Due to which i am unable to take the test. I have done all through my way by 
changing the settings and system configurations but still showing error",I am facing an blocker while doing compatible check,HackerRank,replied,interviews,"To resolve the Zoom connectivity issue, ensure the necessary domains are not blocked in your organization's network. Check that *.zoom.us, *.*.zoom.us, and zoom.us are allowed. Also, verify your system compatibility for Zoom-powered calls.",product_issue,"The issue is related to Zoom connectivity, which is a prerequisite for HackerRank Interviews. The provided documentation outlines the necessary steps to resolve the issue."
"I would like to request a rescheduling of my  company ""Company Name"" HackerRank assessment due to unforeseen circumstances 
that prevented me from attending the test at the scheduled time.
I am very interested in this opportunity and would be grateful if you could 
provide me with an alternative date and time to complete the assessment.
Thank you for your understanding and support.",,HackerRank,escalated,interviews,This case has been escalated to a human support agent.,product_issue,"The user is requesting a rescheduling of their HackerRank assessment due to unforeseen circumstances, which requires human review and potentially manual intervention."
"Can you please confirm the inactivity times currently set (and are they different for candidate/interviewer)? 
Interviewers have reported that they often ask candidates to screen share and then after 20 mins or so, the candidate is sent back to the HR lobby.

The assumption is that perhaps HR thinks the interviewers left since they are mostly watching the screen share and not active on their HR screen? 
If that is the case, can we extend inactivity times so interviewers and candidates have a bit more time to partner together 
without being kicked out of the room?
",Candidate inactivity help,HackerRank,replied,interviews,"The inactivity times for candidates and interviewers are not specified in the provided documentation. However, it is possible that the issue is related to the interviewer's inactivity while watching the candidate's screen share, which may cause the system to think the interviewer has left the room. Unfortunately, the documentation does not provide information on how to extend inactivity times. ",product_issue,The provided documentation does not contain information about inactivity times or how to adjust them. The issue may be related to the system's behavior when an interviewer is watching a candidate's screen share.
"it’s not working, help",Help needed,None,replied,general,"I am sorry, this is out of scope from my capabilities. I can only help with HackerRank, Claude, and Visa support questions.",invalid,Off-topic question unrelated to any supported product. No escalation needed.
